id,short_id,index,name,description,start_time,end_time,created_at,updated_at,routine_id,apple_watch,user_id,username,profile_image,verified,nth_workout,like_count,is_liked_by_user,is_private,like_images,comments,comment_count,media,image_urls,exercises,estimated_volume_kg
04e2c963-23e8-4de1-ac15-3e584c674669,Szz89Z3uJG,,"Run, Sprint training Session","RPE 9, intense interval training",1699385520,1699390152,2023-11-07 19:32:00.000,2023-11-07T19:32:00Z,ed66435a-2e25-44bc-8fa4-47856bb4e59d,,,,,,34,,,,,,,[],[],,0.0
d3ac4c21-b64c-4f8e-8580-583cadf0f322,aAI1DBzvn3,,Lower Body Secondary,"RPE 6, intense interval training",1700682660,1700689737,2023-11-22 19:51:00.000,2023-11-22T19:51:00Z,ed66435a-2e25-44bc-8fa4-47856bb4e59d,,,,,,36,,,,,,,[],[],,0.0
b8926a44-7963-48f5-bd6c-365059ab627a,blGRuZtd60,,COD & Lower Focus,"RPE 3, light recovery workout",1697909520,1697913303,2023-10-21 17:32:00.000,2023-10-21T17:32:00Z,f58c7b50-d6b9-4d7c-9baf-d5b566eec9df,,,,,,38,,,,,,,[],[],,0.0
39bea804-8b06-4929-bb24-c3519e5ab1f7,zF85qTkow9,,Primary Lower,"RPE 10, speed work on the track",1697606460,1697611017,2023-10-18 05:21:00.000,2023-10-18T05:21:00Z,ed66435a-2e25-44bc-8fa4-47856bb4e59d,,,,,,41,,,,,,,[],[],,0.0
4ca49d2e-43aa-4b2a-892b-604a1eab3b73,1ObcTOqfYu,,COD Mastery,"RPE 4, intense interval training",1696484280,1696491324,2023-10-05 05:38:00.000,2023-10-05T05:38:00Z,,,,,,,43,,,,,,,[],[],,0.0
be834e2d-e3f1-4a30-8e67-00735a5b153c,GkRLGagBHm,,COD Mastery,"RPE 9, endurance run, challenging but rewarding",1702098420,1702104896,2023-12-09 05:07:00.000,2023-12-09T05:07:00Z,a33ed5b0-184b-4f8d-8d7b-cd411f203f67,,,,,,45,,,,,,,[],[],,0.0
9346d824-abd8-4e63-9e8b-0b91dbaa285d,Hyer36JtZP,,COD Mastery,"RPE 10, max effort, feeling strong",1699772340,1699779266,2023-11-12 06:59:00.000,2023-11-12T06:59:00Z,,,,,,,47,,,,,,,[],[],,0.0
d0404dfe-ddaf-41dd-a91a-e8b672235dbe,yv6bFPQ2TB,,COD & Lower Focus,"RPE 6, max effort, feeling strong",1701972180,1701976413,2023-12-07 18:03:00.000,2023-12-07T18:03:00Z,,,,,,,48,,,,,,,[],[],,0.0
6fe8b093-a794-42b8-a8d5-f313432a9634,lRoUsTGsta,,"Run, Sprint training Session","RPE 9, endurance run, challenging but rewarding",1700292360,1700298622,2023-11-18 07:26:00.000,2023-11-18T07:26:00Z,be2204be-105f-4f05-96e0-40e871911d6d,,,,,,49,,,,,,,[],[],,0.0
d32df325-a74c-4c3a-8af7-4108a198ecb2,8hs3ISf99r,,COD Mastery,"RPE 6, good pace, steady progress",1699466400,1699471442,2023-11-08 18:00:00.000,2023-11-08T18:00:00Z,ed66435a-2e25-44bc-8fa4-47856bb4e59d,,,,,,54,,,,,,,[],[],,0.0
10921785-7eba-41e3-9a80-eb367d03508c,hPkSqMOyfv,,Lower Body Secondary,"RPE 6, good pace, steady progress",1699167120,1699171269,2023-11-05 06:52:00.000,2023-11-05T06:52:00Z,,,,,,,55,,,,,,,[],[],,0.0
9f392897-0e29-4b6c-a7fb-d797fe5ac6a8,77mhJvzraJ,,COD Mastery,"RPE 5, intense interval training",1698001920,1698009014,2023-10-22 19:12:00.000,2023-10-22T19:12:00Z,,,,,,,56,,,,,,,[],[],,0.0
a3dcc3af-975e-458f-b115-9585e56b010f,qK2NHo1fgF,,Lower Body Secondary,"RPE 8, focused on form and technique today",1697779920,1697786595,2023-10-20 05:32:00.000,2023-10-20T05:32:00Z,f58c7b50-d6b9-4d7c-9baf-d5b566eec9df,,,,,,57,,,,,,,[],[],,0.0
77211a1e-332f-461a-a578-a4b9386e98e4,ScAWTFWJfp,,Morning workout ☀️,"RPE 4, upper body strength training, solid session",1698432060,1698435808,2023-10-27 18:41:00.000,2023-10-27T18:41:00Z,a33ed5b0-184b-4f8d-8d7b-cd411f203f67,,,,,,58,,,,,,,[],[],,0.0
